file	layers	dir	tag	b1	b2	b3	b4	w1	w2	dw	bitfield
DATA\GLOBAL\CHARS\AI\COF\AINU1HS.COF	10	16	20	0	249	146	0	-1792	146	9632000	00000000100111110100100100000000b
DATA\GLOBAL\CHARS\AI\COF\AINU1HT.COF	10	16	20	0	249	146	0	-1792	146	9632000	00000000100111110100100100000000b
DATA\GLOBAL\CHARS\AI\COF\AINU2HS.COF	8	16	20	0	249	146	0	-1792	146	9632000	00000000100111110100100100000000b
DATA\GLOBAL\CHARS\AI\COF\AINU2HT.COF	8	16	20	0	249	146	0	-1792	146	9632000	00000000100111110100100100000000b
DATA\GLOBAL\CHARS\AI\COF\AINUBOW.COF	8	16	20	0	249	146	0	-1792	146	9632000	00000000100111110100100100000000b
DATA\GLOBAL\CHARS\AI\COF\AINUHT1.COF	10	16	20	0	249	146	0	-1792	146	9632000	00000000100111110100100100000000b
DATA\GLOBAL\CHARS\AI\COF\AINUHT2.COF	9	16	20	0	251	18	0	-1280	18	1243904	00000000110111110100100000000000b
DATA\GLOBAL\CHARS\AI\COF\AINUHTH.COF	10	16	20	0	249	146	0	-1792	146	9632000	00000000100111110100100100000000b
DATA\GLOBAL\CHARS\AI\COF\AINUSTF.COF	8	16	20	0	252	18	0	-1024	18	1244160	00000000001111110100100000000000b
DATA\GLOBAL\CHARS\AI\COF\AINUXBW.COF	9	16	20	0	249	146	0	-1792	146	9632000	00000000100111110100100100000000b
DATA\GLOBAL\CHARS\AI\COF\AIRN1HS.COF	10	16	20	0	249	146	0	-1792	146	9632000	00000000100111110100100100000000b
DATA\GLOBAL\CHARS\AI\COF\AIRN1HT.COF	10	16	20	0	249	146	0	-1792	146	9632000	00000000100111110100100100000000b
DATA\GLOBAL\CHARS\AI\COF\AIRN2HS.COF	8	16	20	0	249	146	0	-1792	146	9632000	00000000100111110100100100000000b
DATA\GLOBAL\CHARS\AI\COF\AIRN2HT.COF	8	16	20	0	249	146	0	-1792	146	9632000	00000000100111110100100100000000b
DATA\GLOBAL\CHARS\AI\COF\AIRNBOW.COF	8	16	20	0	249	146	0	-1792	146	9632000	00000000100111110100100100000000b
DATA\GLOBAL\CHARS\AI\COF\AIRNHT1.COF	10	16	20	0	249	146	0	-1792	146	9632000	00000000100111110100100100000000b
DATA\GLOBAL\CHARS\AI\COF\AIRNHT2.COF	9	16	20	0	251	18	0	-1280	18	1243904	00000000110111110100100000000000b
DATA\GLOBAL\CHARS\AI\COF\AIRNHTH.COF	10	16	20	0	249	146	0	-1792	146	9632000	00000000100111110100100100000000b
DATA\GLOBAL\CHARS\AI\COF\AIRNSTF.COF	8	16	20	0	252	18	0	-1024	18	1244160	00000000001111110100100000000000b
DATA\GLOBAL\CHARS\AI\COF\AIRNXBW.COF	9	16	20	0	249	146	0	-1792	146	9632000	00000000100111110100100100000000b
DATA\GLOBAL\CHARS\AI\COF\AIS11HS.COF	10	16	20	0	249	146	0	-1792	146	9632000	00000000100111110100100100000000b
DATA\GLOBAL\CHARS\AI\COF\AIS11HT.COF	10	16	20	0	249	146	0	-1792	146	9632000	00000000100111110100100100000000b
DATA\GLOBAL\CHARS\AI\COF\AIS12HS.COF	8	16	20	0	249	146	0	-1792	146	9632000	00000000100111110100100100000000b
DATA\GLOBAL\CHARS\AI\COF\AIS12HT.COF	9	16	20	0	249	146	0	-1792	146	9632000	00000000100111110100100100000000b
DATA\GLOBAL\CHARS\AI\COF\AIS1BOW.COF	8	16	20	0	249	146	0	-1792	146	9632000	00000000100111110100100100000000b
DATA\GLOBAL\CHARS\AI\COF\AIS1HT1.COF	10	16	20	0	249	146	0	-1792	146	9632000	00000000100111110100100100000000b
DATA\GLOBAL\CHARS\AI\COF\AIS1HT2.COF	9	16	20	0	251	18	0	-1280	18	1243904	00000000110111110100100000000000b
DATA\GLOBAL\CHARS\AI\COF\AIS1HTH.COF	10	16	20	0	249	146	0	-1792	146	9632000	00000000100111110100100100000000b
DATA\GLOBAL\CHARS\AI\COF\AIS1STF.COF	8	16	20	0	252	18	0	-1024	18	1244160	00000000001111110100100000000000b
DATA\GLOBAL\CHARS\AI\COF\AIS1XBW.COF	9	16	20	0	252	18	0	-1024	18	1244160	00000000001111110100100000000000b
DATA\GLOBAL\CHARS\AI\COF\AIS21HS.COF	10	16	20	0	249	146	0	-1792	146	9632000	00000000100111110100100100000000b
DATA\GLOBAL\CHARS\AI\COF\AIS21HT.COF	10	16	20	0	249	146	0	-1792	146	9632000	00000000100111110100100100000000b
DATA\GLOBAL\CHARS\AI\COF\AIS22HS.COF	8	16	20	0	249	146	0	-1792	146	9632000	00000000100111110100100100000000b
DATA\GLOBAL\CHARS\AI\COF\AIS22HT.COF	9	16	20	0	249	146	0	-1792	146	9632000	00000000100111110100100100000000b
DATA\GLOBAL\CHARS\AI\COF\AIS2BOW.COF	8	16	20	0	252	18	0	-1024	18	1244160	00000000001111110100100000000000b
DATA\GLOBAL\CHARS\AI\COF\AIS2HT1.COF	10	16	20	0	249	146	0	-1792	146	9632000	00000000100111110100100100000000b
DATA\GLOBAL\CHARS\AI\COF\AIS2HT2.COF	9	16	20	0	251	18	0	-1280	18	1243904	00000000110111110100100000000000b
DATA\GLOBAL\CHARS\AI\COF\AIS2HTH.COF	10	16	20	0	249	146	0	-1792	146	9632000	00000000100111110100100100000000b
DATA\GLOBAL\CHARS\AI\COF\AIS2STF.COF	8	16	20	0	252	18	0	-1024	18	1244160	00000000001111110100100000000000b
DATA\GLOBAL\CHARS\AI\COF\AIS2XBW.COF	9	16	20	0	252	18	0	-1024	18	1244160	00000000001111110100100000000000b
DATA\GLOBAL\CHARS\AI\COF\AIS31HS.COF	10	16	20	0	249	146	0	-1792	146	9632000	00000000100111110100100100000000b
DATA\GLOBAL\CHARS\AI\COF\AIS31HT.COF	10	16	20	0	249	146	0	-1792	146	9632000	00000000100111110100100100000000b
DATA\GLOBAL\CHARS\AI\COF\AIS32HS.COF	9	16	20	0	249	146	0	-1792	146	9632000	00000000100111110100100100000000b
DATA\GLOBAL\CHARS\AI\COF\AIS32HT.COF	9	16	20	0	249	146	0	-1792	146	9632000	00000000100111110100100100000000b
DATA\GLOBAL\CHARS\AI\COF\AIS3BOW.COF	8	16	20	0	252	18	0	-1024	18	1244160	00000000001111110100100000000000b
DATA\GLOBAL\CHARS\AI\COF\AIS3HT1.COF	10	16	20	0	249	146	0	-1792	146	9632000	00000000100111110100100100000000b
DATA\GLOBAL\CHARS\AI\COF\AIS3HT2.COF	9	16	20	0	251	18	0	-1280	18	1243904	00000000110111110100100000000000b
DATA\GLOBAL\CHARS\AI\COF\AIS3HTH.COF	10	16	20	0	249	146	0	-1792	146	9632000	00000000100111110100100100000000b
DATA\GLOBAL\CHARS\AI\COF\AIS3STF.COF	8	16	20	0	252	18	0	-1024	18	1244160	00000000001111110100100000000000b
DATA\GLOBAL\CHARS\AI\COF\AIS3XBW.COF	9	16	20	0	252	18	0	-1024	18	1244160	00000000001111110100100000000000b
DATA\GLOBAL\CHARS\AI\COF\AIS4HT1.COF	9	16	20	0	251	18	0	-1280	18	1243904	00000000110111110100100000000000b
DATA\GLOBAL\CHARS\AI\COF\AIS4HT2.COF	9	16	20	0	251	18	0	-1280	18	1243904	00000000110111110100100000000000b
DATA\GLOBAL\CHARS\AI\COF\AISC1HS.COF	10	16	20	0	249	146	0	-1792	146	9632000	00000000100111110100100100000000b
DATA\GLOBAL\CHARS\AI\COF\AISC1HT.COF	10	16	20	0	249	146	0	-1792	146	9632000	00000000100111110100100100000000b
DATA\GLOBAL\CHARS\AI\COF\AISC2HS.COF	8	16	20	0	249	146	0	-1792	146	9632000	00000000100111110100100100000000b
DATA\GLOBAL\CHARS\AI\COF\AISC2HT.COF	9	16	20	0	249	146	0	-1792	146	9632000	00000000100111110100100100000000b
DATA\GLOBAL\CHARS\AI\COF\AISCBOW.COF	8	16	20	0	249	146	0	-1792	146	9632000	00000000100111110100100100000000b
DATA\GLOBAL\CHARS\AI\COF\AISCHT1.COF	10	16	20	0	249	146	0	-1792	146	9632000	00000000100111110100100100000000b
DATA\GLOBAL\CHARS\AI\COF\AISCHT2.COF	9	16	20	0	251	18	0	-1280	18	1243904	00000000110111110100100000000000b
DATA\GLOBAL\CHARS\AI\COF\AISCHTH.COF	10	16	20	0	249	146	0	-1792	146	9632000	00000000100111110100100100000000b
DATA\GLOBAL\CHARS\AI\COF\AISCSTF.COF	8	16	20	0	252	18	0	-1024	18	1244160	00000000001111110100100000000000b
DATA\GLOBAL\CHARS\AI\COF\AISCXBW.COF	9	16	20	0	252	18	0	-1024	18	1244160	00000000001111110100100000000000b
DATA\GLOBAL\CHARS\AI\COF\AITH1HS.COF	10	16	20	0	249	146	0	-1792	146	9632000	00000000100111110100100100000000b
DATA\GLOBAL\CHARS\AI\COF\AITH1HT.COF	10	16	20	0	249	146	0	-1792	146	9632000	00000000100111110100100100000000b
DATA\GLOBAL\CHARS\AI\COF\AITN1HS.COF	10	16	20	0	251	18	0	-1280	18	1243904	00000000110111110100100000000000b
DATA\GLOBAL\CHARS\AI\COF\AITN1HT.COF	10	16	20	0	251	18	0	-1280	18	1243904	00000000110111110100100000000000b
DATA\GLOBAL\CHARS\AI\COF\AITN2HS.COF	8	16	20	0	249	146	0	-1792	146	9632000	00000000100111110100100100000000b
DATA\GLOBAL\CHARS\AI\COF\AITN2HT.COF	8	16	20	0	249	146	0	-1792	146	9632000	00000000100111110100100100000000b
DATA\GLOBAL\CHARS\AI\COF\AITNBOW.COF	8	16	20	0	249	146	0	-1792	146	9632000	00000000100111110100100100000000b
DATA\GLOBAL\CHARS\AI\COF\AITNHT1.COF	10	16	20	0	251	18	0	-1280	18	1243904	00000000110111110100100000000000b
DATA\GLOBAL\CHARS\AI\COF\AITNHT2.COF	9	16	20	0	251	18	0	-1280	18	1243904	00000000110111110100100000000000b
DATA\GLOBAL\CHARS\AI\COF\AITNHTH.COF	10	16	20	0	251	18	0	-1280	18	1243904	00000000110111110100100000000000b
DATA\GLOBAL\CHARS\AI\COF\AITNSTF.COF	8	16	20	0	252	18	0	-1024	18	1244160	00000000001111110100100000000000b
DATA\GLOBAL\CHARS\AI\COF\AITNXBW.COF	9	16	20	0	249	146	0	-1792	146	9632000	00000000100111110100100100000000b
DATA\GLOBAL\CHARS\AI\COF\AITW1HS.COF	10	16	20	0	251	18	0	-1280	18	1243904	00000000110111110100100000000000b
DATA\GLOBAL\CHARS\AI\COF\AITW1HT.COF	10	16	20	0	249	146	0	-1792	146	9632000	00000000100111110100100100000000b
DATA\GLOBAL\CHARS\AI\COF\AITW2HS.COF	8	16	20	0	249	146	0	-1792	146	9632000	00000000100111110100100100000000b
DATA\GLOBAL\CHARS\AI\COF\AITW2HT.COF	8	16	20	0	249	146	0	-1792	146	9632000	00000000100111110100100100000000b
DATA\GLOBAL\CHARS\AI\COF\AITWBOW.COF	8	16	20	0	249	146	0	-1792	146	9632000	00000000100111110100100100000000b
DATA\GLOBAL\CHARS\AI\COF\AITWHT1.COF	10	16	20	0	251	18	0	-1280	18	1243904	00000000110111110100100000000000b
DATA\GLOBAL\CHARS\AI\COF\AITWHT2.COF	9	16	20	0	251	18	0	-1280	18	1243904	00000000110111110100100000000000b
DATA\GLOBAL\CHARS\AI\COF\AITWHTH.COF	10	16	20	0	251	18	0	-1280	18	1243904	00000000110111110100100000000000b
DATA\GLOBAL\CHARS\AI\COF\AITWSTF.COF	8	16	20	0	252	18	0	-1024	18	1244160	00000000001111110100100000000000b
DATA\GLOBAL\CHARS\AI\COF\AITWXBW.COF	9	16	20	0	249	146	0	-1792	146	9632000	00000000100111110100100100000000b
DATA\GLOBAL\CHARS\AI\COF\AIWL1HS.COF	10	16	20	0	249	146	0	-1792	146	9632000	00000000100111110100100100000000b
DATA\GLOBAL\CHARS\AI\COF\AIWL1HT.COF	10	16	20	0	249	146	0	-1792	146	9632000	00000000100111110100100100000000b
DATA\GLOBAL\CHARS\AI\COF\AIWL2HS.COF	8	16	20	0	249	146	0	-1792	146	9632000	00000000100111110100100100000000b
DATA\GLOBAL\CHARS\AI\COF\AIWL2HT.COF	8	16	20	0	249	146	0	-1792	146	9632000	00000000100111110100100100000000b
DATA\GLOBAL\CHARS\AI\COF\AIWLBOW.COF	8	16	20	0	249	146	0	-1792	146	9632000	00000000100111110100100100000000b
DATA\GLOBAL\CHARS\AI\COF\AIWLHT1.COF	10	16	20	0	249	146	0	-1792	146	9632000	00000000100111110100100100000000b
DATA\GLOBAL\CHARS\AI\COF\AIWLHT2.COF	9	16	20	0	251	18	0	-1280	18	1243904	00000000110111110100100000000000b
DATA\GLOBAL\CHARS\AI\COF\AIWLHTH.COF	10	16	20	0	249	146	0	-1792	146	9632000	00000000100111110100100100000000b
DATA\GLOBAL\CHARS\AI\COF\AIWLSTF.COF	8	16	20	0	252	18	0	-1024	18	1244160	00000000001111110100100000000000b
DATA\GLOBAL\CHARS\AI\COF\AIWLXBW.COF	9	16	20	0	252	18	0	-1024	18	1244160	00000000001111110100100000000000b
DATA\GLOBAL\CHARS\AM\COF\AMA11HS.COF	9	16	20	0	11	53	170	2816	-21963	-1439364352	00000000110100001010110001010101b
DATA\GLOBAL\CHARS\AM\COF\AMA11HT.COF	9	16	20	0	249	124	0	-1792	124	8190208	00000000100111110011111000000000b
DATA\GLOBAL\CHARS\AM\COF\AMA12HS.COF	8	16	20	0	251	122	0	-1280	122	8059648	00000000110111110101111000000000b
DATA\GLOBAL\CHARS\AM\COF\AMA12HT.COF	8	16	20	0	249	146	0	-1792	146	9632000	00000000100111110100100100000000b
DATA\GLOBAL\CHARS\AM\COF\AMA1BOW.COF	8	16	20	0	240	253	127	-4096	32765	2147348480	00000000000011111011111111111110b
DATA\GLOBAL\CHARS\AM\COF\AMA1HTH.COF	8	16	20	0	251	122	0	-1280	122	8059648	00000000110111110101111000000000b
DATA\GLOBAL\CHARS\AM\COF\AMA1STF.COF	8	16	20	0	240	253	127	-4096	32765	2147348480	00000000000011111011111111111110b
DATA\GLOBAL\CHARS\AM\COF\AMA1XBW.COF	9	16	20	0	251	122	0	-1280	122	8059648	00000000110111110101111000000000b
DATA\GLOBAL\CHARS\AM\COF\AMA21HS.COF	9	16	20	0	249	126	0	-1792	126	8321280	00000000100111110111111000000000b
DATA\GLOBAL\CHARS\AM\COF\AMA21HT.COF	9	16	20	0	251	122	0	-1280	122	8059648	00000000110111110101111000000000b
DATA\GLOBAL\CHARS\AM\COF\AMA22HS.COF	8	16	20	0	251	122	0	-1280	122	8059648	00000000110111110101111000000000b
DATA\GLOBAL\CHARS\AM\COF\AMA22HT.COF	8	16	20	0	240	253	127	-4096	32765	2147348480	00000000000011111011111111111110b
DATA\GLOBAL\CHARS\AM\COF\AMA2HTH.COF	8	16	20	0	240	253	127	-4096	32765	2147348480	00000000000011111011111111111110b
DATA\GLOBAL\CHARS\AM\COF\AMA2STF.COF	8	16	20	0	249	126	0	-1792	126	8321280	00000000100111110111111000000000b
DATA\GLOBAL\CHARS\AM\COF\AMBL1HS.COF	9	16	20	0	240	253	127	-4096	32765	2147348480	00000000000011111011111111111110b
DATA\GLOBAL\CHARS\AM\COF\AMBL1HT.COF	9	16	20	0	251	122	0	-1280	122	8059648	00000000110111110101111000000000b
DATA\GLOBAL\CHARS\AM\COF\AMBLHTH.COF	8	16	20	0	251	122	0	-1280	122	8059648	00000000110111110101111000000000b
DATA\GLOBAL\CHARS\AM\COF\AMDDHTH.COF	1	16	20	0	240	253	127	-4096	32765	2147348480	00000000000011111011111111111110b
DATA\GLOBAL\CHARS\AM\COF\AMDTHTH.COF	1	16	20	0	240	253	127	-4096	32765	2147348480	00000000000011111011111111111110b
DATA\GLOBAL\CHARS\AM\COF\AMGH1HS.COF	9	16	20	0	240	253	127	-4096	32765	2147348480	00000000000011111011111111111110b
DATA\GLOBAL\CHARS\AM\COF\AMGH1HT.COF	9	16	20	0	251	122	0	-1280	122	8059648	00000000110111110101111000000000b
DATA\GLOBAL\CHARS\AM\COF\AMGH2HS.COF	8	16	20	0	251	122	0	-1280	122	8059648	00000000110111110101111000000000b
DATA\GLOBAL\CHARS\AM\COF\AMGH2HT.COF	8	16	20	0	251	122	0	-1280	122	8059648	00000000110111110101111000000000b
DATA\GLOBAL\CHARS\AM\COF\AMGHBOW.COF	8	16	20	0	251	122	0	-1280	122	8059648	00000000110111110101111000000000b
DATA\GLOBAL\CHARS\AM\COF\AMGHHTH.COF	8	16	20	0	240	253	127	-4096	32765	2147348480	00000000000011111011111111111110b
DATA\GLOBAL\CHARS\AM\COF\AMGHSTF.COF	8	16	20	0	251	122	0	-1280	122	8059648	00000000110111110101111000000000b
DATA\GLOBAL\CHARS\AM\COF\AMGHXBW.COF	9	16	20	0	240	253	127	-4096	32765	2147348480	00000000000011111011111111111110b
DATA\GLOBAL\CHARS\AM\COF\AMKK1HS.COF	9	16	20	0	240	253	127	-4096	32765	2147348480	00000000000011111011111111111110b
DATA\GLOBAL\CHARS\AM\COF\AMKK1HT.COF	9	16	20	0	251	122	0	-1280	122	8059648	00000000110111110101111000000000b
DATA\GLOBAL\CHARS\AM\COF\AMKK2HS.COF	8	16	20	0	251	122	0	-1280	122	8059648	00000000110111110101111000000000b
DATA\GLOBAL\CHARS\AM\COF\AMKK2HT.COF	8	16	20	0	240	253	127	-4096	32765	2147348480	00000000000011111011111111111110b
DATA\GLOBAL\CHARS\AM\COF\AMKKBOW.COF	8	16	20	0	251	122	0	-1280	122	8059648	00000000110111110101111000000000b
DATA\GLOBAL\CHARS\AM\COF\AMKKHTH.COF	8	16	20	0	251	122	0	-1280	122	8059648	00000000110111110101111000000000b
DATA\GLOBAL\CHARS\AM\COF\AMKKSTF.COF	8	16	20	0	251	122	0	-1280	122	8059648	00000000110111110101111000000000b
DATA\GLOBAL\CHARS\AM\COF\AMKKXBW.COF	9	16	20	0	240	253	127	-4096	32765	2147348480	00000000000011111011111111111110b
DATA\GLOBAL\CHARS\AM\COF\AMNU1HS.COF	9	16	20	0	249	126	0	-1792	126	8321280	00000000100111110111111000000000b
DATA\GLOBAL\CHARS\AM\COF\AMNU1HT.COF	9	16	20	0	249	126	0	-1792	126	8321280	00000000100111110111111000000000b
DATA\GLOBAL\CHARS\AM\COF\AMNU2HS.COF	8	16	20	0	249	126	0	-1792	126	8321280	00000000100111110111111000000000b
DATA\GLOBAL\CHARS\AM\COF\AMNU2HT.COF	8	16	20	0	249	126	0	-1792	126	8321280	00000000100111110111111000000000b
DATA\GLOBAL\CHARS\AM\COF\AMNUBOW.COF	8	16	20	0	249	126	0	-1792	126	8321280	00000000100111110111111000000000b
DATA\GLOBAL\CHARS\AM\COF\AMNUHTH.COF	8	16	20	0	249	126	0	-1792	126	8321280	00000000100111110111111000000000b
DATA\GLOBAL\CHARS\AM\COF\AMNUSTF.COF	8	16	20	0	249	124	0	-1792	124	8190208	00000000100111110011111000000000b
DATA\GLOBAL\CHARS\AM\COF\AMNUXBW.COF	9	16	20	0	249	126	0	-1792	126	8321280	00000000100111110111111000000000b
DATA\GLOBAL\CHARS\AM\COF\AMRN1HS.COF	9	16	20	0	251	122	0	-1280	122	8059648	00000000110111110101111000000000b
DATA\GLOBAL\CHARS\AM\COF\AMRN1HT.COF	9	16	20	0	249	136	0	-1792	136	8976640	00000000100111110001000100000000b
DATA\GLOBAL\CHARS\AM\COF\AMRN2HS.COF	8	16	20	0	249	147	0	-1792	147	9697536	00000000100111111100100100000000b
DATA\GLOBAL\CHARS\AM\COF\AMRN2HT.COF	8	16	20	0	251	122	0	-1280	122	8059648	00000000110111110101111000000000b
DATA\GLOBAL\CHARS\AM\COF\AMRNBOW.COF	8	16	20	0	251	122	0	-1280	122	8059648	00000000110111110101111000000000b
DATA\GLOBAL\CHARS\AM\COF\AMRNHTH.COF	8	16	20	0	251	122	0	-1280	122	8059648	00000000110111110101111000000000b
DATA\GLOBAL\CHARS\AM\COF\AMRNSTF.COF	8	16	20	0	251	122	0	-1280	122	8059648	00000000110111110101111000000000b
DATA\GLOBAL\CHARS\AM\COF\AMRNXBW.COF	9	16	20	0	240	253	127	-4096	32765	2147348480	00000000000011111011111111111110b
DATA\GLOBAL\CHARS\AM\COF\AMS11HS.COF	9	16	20	0	251	114	0	-1280	114	7535360	00000000110111110100111000000000b
DATA\GLOBAL\CHARS\AM\COF\AMS11HT.COF	9	16	20	0	251	122	0	-1280	122	8059648	00000000110111110101111000000000b
DATA\GLOBAL\CHARS\AM\COF\AMS12HS.COF	8	16	20	0	251	114	0	-1280	114	7535360	00000000110111110100111000000000b
DATA\GLOBAL\CHARS\AM\COF\AMS12HT.COF	8	16	20	0	251	114	0	-1280	114	7535360	00000000110111110100111000000000b
DATA\GLOBAL\CHARS\AM\COF\AMS1BOW.COF	8	16	20	0	251	114	0	-1280	114	7535360	00000000110111110100111000000000b
DATA\GLOBAL\CHARS\AM\COF\AMS1HTH.COF	8	16	20	0	251	114	0	-1280	114	7535360	00000000110111110100111000000000b
DATA\GLOBAL\CHARS\AM\COF\AMS1STF.COF	8	16	20	0	251	114	0	-1280	114	7535360	00000000110111110100111000000000b
DATA\GLOBAL\CHARS\AM\COF\AMS1XBW.COF	9	16	20	0	251	114	0	-1280	114	7535360	00000000110111110100111000000000b
DATA\GLOBAL\CHARS\AM\COF\AMSC1HS.COF	9	16	20	0	240	253	127	-4096	32765	2147348480	00000000000011111011111111111110b
